Departamento,Año,Área Cos‎.‎(‎Hectáreas‎)‎,Producción ‎(‎Toneladas‎)‎,Rendimiento‎ (‎Ton‎/‎ha)‎,Participación Producción Nacional (%),Participación Área Cos. Nacional (%)
Sucre                                             ,2010,"100,00 ","250,00 ","5,00 ","0,03 ","0,04 "
Antioquia                                         ,2010,"970,00 ","2.770,76 ","5,71 ","0,30 ","0,34 "
Caquetá                                           ,2010,"770,00 ","1.160,00 ","3,01 ","0,12 ","0,27 "
Vichada                                           ,2010,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Meta                                              ,2010,"201.146,00 ","574.343,20 ","5,71 ","61,73 ","70,75 "
Bolívar                                           ,2010,"32.348,00 ","118.532,00 ","7,33 ","12,74 ","11,38 "
Cesar                                             ,2010,"71.245,00 ","261.599,70 ","7,34 ","28,11 ","25,06 "
Córdoba                                           ,2010,"220,00 ","880,00 ","8,00 ","0,09 ","0,08 "
La Guajira                                        ,2010,"1.090,00 ","3.874,00 ","7,11 ","0,42 ","0,38 "
Nariño                                            ,2010,"12.408,00 ","37.216,00 ","6,00 ","4,00 ","4,36 "
Tolima                                            ,2010,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Santander                                         ,2010,"106.992,14 ","379.598,20 ","7,10 ","40,80 ","37,63 "
Otros Departamentos                               ,2010,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Chocó                                             ,2010,"10.352,00 ","30.838,84 ","5,96 ","3,31 ","3,64 "
Cauca                                             ,2010,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Casanare                                          ,2010,"28.109,60 ","107.388,80 ","7,64 ","11,54 ","9,89 "
Caquetá                                           ,2011,"800,00 ","1.200,00 ","3,00 ","0,11 ","0,24 "
Chocó                                             ,2011,"12.438,00 ","36.651,84 ","5,89 ","3,41 ","3,72 "
Sucre                                             ,2011,"100,00 ","180,00 ","3,60 ","0,02 ","0,03 "
Meta                                              ,2011,"249.092,00 ","739.477,60 ","5,94 ","68,79 ","74,47 "
Arauca                                            ,2011,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Otros Departamentos                               ,2011,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Vichada                                           ,2011,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Nariño                                            ,2011,"26.004,00 ","50.704,00 ","3,90 ","4,72 ","7,77 "
Tolima                                            ,2011,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Antioquia                                         ,2011,"1.010,00 ","2.938,00 ","5,82 ","0,27 ","0,30 "
Casanare                                          ,2011,"44.464,47 ","174.084,65 ","7,83 ","16,19 ","13,29 "
Cundinamarca                                      ,2011,"7.590,00 ","12.140,00 ","3,20 ","1,13 ","2,27 "
Bolívar                                           ,2011,"32.502,00 ","118.312,60 ","7,28 ","11,01 ","9,72 "
Magdalena                                         ,2011,"70.692,00 ","244.042,00 ","6,90 ","22,70 ","21,14 "
Córdoba                                           ,2011,"240,00 ","960,00 ","8,00 ","0,09 ","0,07 "
Norte de Santander                                ,2011,"30.562,00 ","92.495,20 ","6,05 ","8,60 ","9,14 "
Santander                                         ,2011,"111.812,00 ","381.143,20 ","6,82 ","35,45 ","33,43 "
Cesar                                             ,2011,"78.398,00 ","284.700,60 ","7,26 ","26,48 ","23,44 "
Cauca                                             ,2011,"1.253,70 ","4.387,96 ","7,00 ","0,41 ","0,37 "
Atlántico                                         ,2011,"440,00 ","1.320,00 ","6,00 ","0,12 ","0,13 "
La Guajira                                        ,2011,"1.534,00 ","5.372,40 ","7,00 ","0,50 ","0,46 "
Tolima                                            ,2012,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Magdalena                                         ,2012,"73.068,00 ","251.673,60 ","6,89 ","22,07 ","21,19 "
Cauca                                             ,2012,"1.248,00 ","4.368,00 ","7,00 ","0,38 ","0,36 "
Córdoba                                           ,2012,"440,00 ","5.500,00 ","25,00 ","0,48 ","0,13 "
Santander                                         ,2012,"121.270,32 ","416.247,92 ","6,86 ","36,51 ","35,17 "
Cesar                                             ,2012,"81.492,00 ","295.900,72 ","7,26 ","25,95 ","23,64 "
Arauca                                            ,2012,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
